desc,url
"
      Veteran journalist Joe Nocera’s neighbor in the Hamptons was a therapist named Ike. Ike counted celebrities and Manhattan elites as his patients. He’d host star-studded parties at his eccentric vacation house. But one summer, Joe discovered that Ike was gone and everything he’d thought he’d known about his neighbor -- and the house next door -- was wrong. From Wondery, the company behind Dirty John and Dr. Death, and Bloomberg, “The Shrink Next Door” is a story about power, control and turning to the wrong person for help for three decades. Written and hosted by Joe Nocera, a...",https://chartable.com/podcasts/the-shrink-next-door
"SVP & Russillo has relaunched as a podcast. SportsCenter's Scott Van Pelt has reunited with his former radio co-host and ESPN personality Ryen Russillo where they discuss what's on their minds in the sports world, give listeners advice, talk with athletes and just have lot of fun. Who leads the show? Will Ryen create a new feature that others will soon steal? Can SVP book big name guests? Tune in and find out.",https://chartable.com/podcasts/svp-russillo
"An 1839 assassination of a Cherokee leader. A 1999 small town murder. Two crimes collide in a Supreme Court case that will decide the fate of one man and nearly half of the land in Oklahoma. Hosted by Rebecca Nagle, Oklahoma journalist and citizen of Cherokee Nation, this podcast traces how a cut and dry homicide opened up an investigation into the treaty rights of five Native American tribes. Tune in to find out how this unique case could result in the largest restoration of tribal land in US history when it answers one fundamental question: Who owns this land?",https://chartable.com/podcasts/this-land-1464954218
"The official podcast of the miniseries Chernobyl, from HBO and Sky. Join host Peter Sagal (NPR’s “Wait Wait...Don't Tell Me!”) and series creator, writer and executive producer Craig Mazin after each episode as they discuss the true stories that shaped the scenes, themes and characters. Chernobyl airs Mondays at 9 PM on HBO and Tuesdays at 9 PM on Sky Atlantic. The Chernobyl Podcast is also available to stream on HBO NOW and HBO GO starting Monday, May 6 at 10 PM.",https://chartable.com/podcasts/the-chernobyl-podcast
Conduit to the Gaian Mind,https://chartable.com/podcasts/the-joe-rogan-experience
"Starting May 23rd, 2019: Listen to Chelsea Handler's first ever podcast series featuring candid, hilarious conversations about her life, her work and where she’s headed next. The series is an entertaining, raw, smart, funny, heartbreaking and honest memoir of Chelsea’s life changing year of self-discovery, healing and growth. The podcast features interviews with celebrities such as Connie Britton, Jake Tapper, Sean Hayes, Mary McCormack and more.

Life Will Be the Death of Me with Chelsea Handler is a production of iHeartRadio. ",https://chartable.com/podcasts/life-will-be-the-death-of-me-with-chelsea-handler
"There’s a dark side to the American dream. 

From the creators of Root of Evil, Gangster Capitalism Season 1 is centered on the 2019 college admissions scandal that is exposing everyone from CEOs to celebrities. Award-winning documentarian, Andrew Jenks, uncovers the origins and inner workings of this unprecedented scam, introducing you to the people involved, and exploring the larger debate around higher education that has been brought to the forefront. The final chapter of this story is still being written, as the federal investigation into these crimes continues to grow and...",https://chartable.com/podcasts/gangster-capitalism
"
      After 25 years at the Late Night desk, Conan realized that the only people at his holiday party are the men and women who work for him.Over the years and despite thousands of interviews, Conan has never made a real and lasting friendship with any of his celebrity guests. So, he started a podcast to do just that.Deeper, unboundedly playful, and free from FCC regulations, Conan O’Brien Needs a Friend is a weekly opportunity for Conan to hang out with the people he enjoys most and perhaps find some real friendship along the way.
    ",https://chartable.com/podcasts/conan-obrien-needs-a-friend
"Crime Junkie is a weekly podcast dedicated to giving you a true crime fix. Every Monday, Ashley Flowers will tell you about whatever crime she’s been obsessing over that week in a way that sounds like you're sitting around talking crime with your best friends. The storytelling is straightforward and free of rabbit holes so the cases stay suspenseful and are easy to follow. If you can never get enough true crime... Congratulations, you’re a Crime Junkie! You’ve found your people.",https://chartable.com/podcasts/crime-junkie
"Linda Taylor was a con artist, a kidnapper, maybe even a murderer. She was also America’s original “welfare queen,” the villain Ronald Reagan needed to create a vision of a country being taken advantage of by its poorest citizens. Josh Levin reveals the never-before-told story of a woman whose singular life was forgotten in the rush to create a vicious American stereotype.",https://chartable.com/podcasts/the-queen
